id,type,properties,mentions,article_id,text
company:sanyo_electric,Company,"{'name': 'Sanyo Electric', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}","['Sanyo Electric', 'Sanyo']",article_id,Company Sanyo Electric Sanyo Electric Sanyo
company:sharp,Company,"{'name': 'Sharp', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['Sharp'],article_id,Company Sharp Sharp
project:sharp_sakai_complex,Project,"{'name': 'Sharp Sakai Complex', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': 'Sakai', 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}","[""Sharp's complex"", 'the complex']",article_id,Project Sharp Sakai Complex Sharp's complex the complex Sakai
location:sakai,Location,"{'name': 'Sakai', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': 'city', 'role_in_solar_energy_space': None}",['Sakai'],article_id,Location Sakai Sakai city
company:ge,Company,"{'name': 'GE', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}","['GE', 'General Electric']",article_id,Company GE GE General Electric
company:dupont,Company,"{'name': 'DuPont', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['DuPont'],article_id,Company DuPont DuPont
technology:solar_energy,Technology,"{'name': 'Solar Energy', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}","['solar', 'solar energy']",article_id,Technology Solar Energy solar solar energy
company:apple,Company,"{'name': 'Apple', 'ticker': 'AAPL', 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}","['Apple', 'AAPL', 'iPhone maker']",article_id,Company Apple Apple AAPL iPhone maker AAPL
project:apple_campus_2,Project,"{'name': 'Apple Campus 2', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': 'Cupertino', 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}","['Apple Campus 2', 'spaceship', 'new campus']",article_id,Project Apple Campus 2 Apple Campus 2 spaceship new campus Cupertino
location:cupertino,Location,"{'name': 'Cupertino', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': 'city', 'role_in_solar_energy_space': None}",['Cupertino'],article_id,Location Cupertino Cupertino city
company:fluidic_energy,Company,"{'name': 'Fluidic Energy', 'ticker': None, 'headquarters': 'Scottsdale, Arizona', 'country': 'United States of America', 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['Fluidic Energy'],article_id,"Company Fluidic Energy Fluidic Energy Scottsdale, Arizona United States of America"
company:caterpillar,Company,"{'name': 'Caterpillar', 'ticker': 'CAT', 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['Caterpillar'],article_id,Company Caterpillar Caterpillar CAT
technology:zinc_air_battery,Technology,"{'name': 'Zinc-air battery', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['zinc-air battery'],article_id,Technology Zinc-air battery zinc-air battery
governmentagency:department_of_energy,GovernmentAgency,"{'name': 'Department of Energy', 'ticker': None, 'headquarters': None, 'country': 'United States of America', 'government_level': 'federal', 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['Department of Energy'],article_id,GovernmentAgency Department of Energy Department of Energy United States of America federal
policy:arpa_e_program,Policy,"{'name': 'ARPA-E program', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': 'government_program', 'jurisdiction': 'United States of America', 'enactment_year': 2009, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['ARPA-E program'],article_id,Policy ARPA-E program ARPA-E program government_program United States of America 2009
project:madagascar_off_grid_project,Project,"{'name': 'Madagascar Off-Grid Project', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': 'Madagascar', 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}","['project to bring power to 400,000 people in rural areas of Madagascar']",article_id,"Project Madagascar Off-Grid Project project to bring power to 400,000 people in rural areas of Madagascar Madagascar"
project:indonesia_off_grid_project,Project,"{'name': 'Indonesia Off-Grid Project', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': 'Indonesia', 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['project to bring power to 500 remote villages in the country'],article_id,Project Indonesia Off-Grid Project project to bring power to 500 remote villages in the country Indonesia
company:first_solar,Company,"{'name': 'First Solar Inc.', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}","['First Solar Inc.', 'First Solar']",article_id,Company First Solar Inc. First Solar Inc. First Solar
location:chile,Location,"{'name': 'Chile', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': 'country', 'role_in_solar_energy_space': None}","['Chile', 'the country']",article_id,Location Chile Chile the country country
project:solar_installations_north_chile,Project,"{'name': 'Solar Installations North Chile', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': '770 megawatts', 'location': 'North Chile', 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}","['solar installations', 'solar capacity']",article_id,Project Solar Installations North Chile solar installations solar capacity 770 megawatts North Chile
governmentagency:chilean_government,GovernmentAgency,"{'name': 'Chilean Government', 'ticker': None, 'headquarters': None, 'country': 'Chile', 'government_level': 'federal', 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}","['Chilean government', 'the government']",article_id,GovernmentAgency Chilean Government Chilean government the government Chile federal
company:sunedison,Company,"{'name': 'SunEdison', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['SunEdison'],article_id,Company SunEdison SunEdison
company:enphase_energy,Company,"{'name': 'Enphase Energy', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['Enphase Energy'],article_id,Company Enphase Energy Enphase Energy
company:ambri,Company,"{'name': 'Ambri', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['Ambri'],article_id,Company Ambri Ambri
technology:liquid_metal_battery,Technology,"{'name': 'Liquid Metal Battery', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['liquid metal batteries'],article_id,Technology Liquid Metal Battery liquid metal batteries
company:cloudsolar,Company,"{'name': 'CloudSolar', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['CloudSolar'],article_id,Company CloudSolar CloudSolar
project:cloudsolar_solar_farm,Project,"{'name': 'CloudSolar Solar Farm', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': 'New England', 'time_period': 'next year', 'location_type': None, 'role_in_solar_energy_space': None}","['solar farm', 'the farm']",article_id,Project CloudSolar Solar Farm solar farm the farm New England next year
location:new_england,Location,"{'name': 'New England', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': 'region', 'role_in_solar_energy_space': None}",['New England'],article_id,Location New England New England region
company:impax_asset_management,Company,"{'name': 'Impax Asset Management', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}","['Impax Asset Management', 'Impax']",article_id,Company Impax Asset Management Impax Asset Management Impax
technology:distributed_solar,Technology,"{'name': 'distributed solar', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['distributed solar'],article_id,Technology distributed solar distributed solar
organization:solaraid,Organization,"{'name': 'SolarAid', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': 'charity', 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['SolarAid'],article_id,Organization SolarAid SolarAid charity
project:solaraid,Project,"{'name': 'SolarAid', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['SolarAid'],article_id,Project SolarAid SolarAid
location:africa,Location,"{'name': 'Africa', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': 'region', 'role_in_solar_energy_space': None}",['Africa'],article_id,Location Africa Africa region
company:solarworld,Company,"{'name': 'SolarWorld', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['SolarWorld'],article_id,Company SolarWorld SolarWorld
policy:tariffs_on_chinese_imports,Policy,"{'name': 'Tariffs on Chinese Imports', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': 'tariff', 'jurisdiction': 'United States', 'enactment_year': 2012, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['tariffs on Chinese imports'],article_id,Policy Tariffs on Chinese Imports tariffs on Chinese imports tariff United States 2012
project:gardens_by_the_bay,Project,"{'name': 'Gardens by the Bay', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': 'Singapore', 'time_period': '2011-present', 'location_type': None, 'role_in_solar_energy_space': None}",['Gardens by the Bay'],article_id,Project Gardens by the Bay Gardens by the Bay Singapore 2011-present
technology:photovoltaic_cells,Technology,"{'name': 'photovoltaic cells', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['photovoltaic cells'],article_id,Technology photovoltaic cells photovoltaic cells
company:solyndra,Company,"{'name': 'Solyndra', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['Solyndra'],article_id,Company Solyndra Solyndra
organization:harvard,Organization,"{'name': 'Harvard', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': 'university', 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['Harvard'],article_id,Organization Harvard Harvard university
technology:liquid_fuel_conversion,Technology,"{'name': 'liquid fuel conversion', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}","['convert solar energy into liquid fuel', 'convert the hydrogen, plus carbon dioxide, into the liquid fuel isopropanol']",article_id,"Technology liquid fuel conversion convert solar energy into liquid fuel convert the hydrogen, plus carbon dioxide, into the liquid fuel isopropanol"
company:sunverge,Company,"{'name': 'Sunverge', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['Sunverge'],article_id,Company Sunverge Sunverge
technology:virtual_power_plant,Technology,"{'name': 'virtual power plant', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['virtual power plant'],article_id,Technology virtual power plant virtual power plant
technology:home_energy_management_system,Technology,"{'name': 'home energy management system', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['home energy management system'],article_id,Technology home energy management system home energy management system
person:jimmy_carter,Person,"{'name': 'Jimmy Carter', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}","['President Jimmy Carter', 'Carter']",article_id,Person Jimmy Carter President Jimmy Carter Carter
person:barack_obama,Person,"{'name': 'Barack Obama', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}","['President Obama', 'Obama']",article_id,Person Barack Obama President Obama Obama
person:bill_mckibben,Person,"{'name': 'Bill McKibben', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}","['Bill McKibben', 'McKibben']",article_id,Person Bill McKibben Bill McKibben McKibben
project:white_house_solar_panels,Project,"{'name': 'White House Solar Panels', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': '19,700 kilowatt hours', 'location': 'White House', 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}","['solar panels', 'panels']",article_id,"Project White House Solar Panels solar panels panels 19,700 kilowatt hours White House"
location:white_house,Location,"{'name': 'White House', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': 'city', 'role_in_solar_energy_space': None}",['White House'],article_id,Location White House White House city
project:finow_solar_park,Project,"{'name': 'Finow Solar Park', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': '90,000 solar modules', 'location': 'Eberswalde, Germany', 'time_period': '2009-present (as of 2011)', 'location_type': None, 'role_in_solar_energy_space': None}","['solar power park', 'solar park', 'Finow Solar Park']",article_id,"Project Finow Solar Park solar power park solar park Finow Solar Park 90,000 solar modules Eberswalde, Germany 2009-present (as of 2011)"
company:suntech_power_holdings,Company,"{'name': 'Suntech Power Holdings', 'ticker': None, 'headquarters': None, 'country': 'China', 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}","['Suntech Power Holdings', 'Suntech']",article_id,Company Suntech Power Holdings Suntech Power Holdings Suntech China
company:conergy,Company,"{'name': 'Conergy', 'ticker': None, 'headquarters': None, 'country': 'Germany', 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['Conergy'],article_id,Company Conergy Conergy Germany
company:solarhybrid,Company,"{'name': 'Solarhybrid', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['Solarhybrid'],article_id,Company Solarhybrid Solarhybrid
policy:us_cash_grant_program,Policy,"{'name': 'U.S. Cash Grant Program', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': None, 'policy_type': 'grant', 'jurisdiction': 'United States', 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['cash grant program'],article_id,Policy U.S. Cash Grant Program cash grant program grant United States
organization:china_development_bank,Organization,"{'name': 'China Development Bank', 'ticker': None, 'headquarters': None, 'country': None, 'government_level': None, 'organization_type': 'financial_institution', 'policy_type': None, 'jurisdiction': None, 'enactment_year': None, 'capacity': None, 'location': None, 'time_period': None, 'location_type': None, 'role_in_solar_energy_space': None}",['China Development Bank'],article_id,Organization China Development Bank China Development Bank financial_institution
